toros_field_id ra dec l b program exposure_time cadence ephemeris period observations moon_phase
06.006 61.579 -82.411 296.213 -31.974 main_survey 300.000 1 0 0 0 0
06.007 71.053 -82.411 295.414 -30.927 main_survey 300.000 1 0 0 0 0
06.008 80.526 -82.411 294.841 -29.779 main_survey 300.000 1 0 0 0 0
06.009 90.000 -82.411 294.502 -28.565 main_survey 300.000 1 0 0 0 0
06.00a 99.474 -82.411 294.398 -27.318 main_survey 300.000 1 0 0 0 0
06.00b 108.947 -82.411 294.525 -26.074 main_survey 300.000 1 0 0 0 0
06.00c 118.421 -82.411 294.871 -24.863 main_survey 300.000 1 0 0 0 0
06.00d 127.895 -82.411 295.422 -23.719 main_survey 300.000 1 0 0 0 0
06.00e 137.368 -82.411 296.159 -22.669 main_survey 300.000 1 0 0 0 0
06.00f 146.842 -82.411 297.060 -21.738 main_survey 300.000 1 0 0 0 0
06.010 156.316 -82.411 298.102 -20.950 main_survey 300.000 1 0 0 0 0
06.011 165.789 -82.411 299.257 -20.324 main_survey 300.000 1 0 0 0 0
06.012 175.263 -82.411 300.499 -19.874 main_survey 300.000 1 0 0 0 0
06.013 184.737 -82.411 301.797 -19.611 main_survey 300.000 1 0 0 0 0
06.014 194.211 -82.411 303.121 -19.541 main_survey 300.000 1 0 0 0 0
06.015 203.684 -82.411 304.441 -19.666 main_survey 300.000 1 0 0 0 0
06.016 213.158 -82.411 305.726 -19.983 main_survey 300.000 1 0 0 0 0
06.017 222.632 -82.411 306.946 -20.485 main_survey 300.000 1 0 0 0 0
06.018 232.105 -82.411 308.072 -21.159 main_survey 300.000 1 0 0 0 0
06.019 241.579 -82.411 309.076 -21.990 main_survey 300.000 1 0 0 0 0
06.01a 251.053 -82.411 309.933 -22.957 main_survey 300.000 1 0 0 0 0
06.01b 260.526 -82.411 310.619 -24.037 main_survey 300.000 1 0 0 0 0
06.01c 270.000 -82.411 311.113 -25.203 main_survey 300.000 1 0 0 0 0
06.01d 279.474 -82.411 311.398 -26.426 main_survey 300.000 1 0 0 0 0
06.01e 288.947 -82.411 311.460 -27.675 main_survey 300.000 1 0 0 0 0
06.01f 298.421 -82.411 311.289 -28.916 main_survey 300.000 1 0 0 0 0
06.020 307.895 -82.411 310.883 -30.115 main_survey 300.000 1 0 0 0 0
06.021 317.368 -82.411 310.245 -31.237 main_survey 300.000 1 0 0 0 0
06.022 326.842 -82.411 309.384 -32.250 main_survey 300.000 1 0 0 0 0
06.023 336.316 -82.411 308.320 -33.122 main_survey 300.000 1 0 0 0 0
06.024 345.789 -82.411 307.081 -33.825 main_survey 300.000 1 0 0 0 0
06.025 355.263 -82.411 305.703 -34.335 main_survey 300.000 1 0 0 0 0
07.000 0.000 -81.146 305.351 -35.739 main_survey 300.000 1 0 0 0 0
07.001 8.182 -81.146 303.820 -35.950 main_survey 300.000 1 0 0 0 0
07.002 16.364 -81.146 302.266 -35.964 main_survey 300.000 1 0 0 0 0
07.003 24.545 -81.146 300.730 -35.782 main_survey 300.000 1 0 0 0 0
07.004 32.727 -81.146 299.252 -35.407 main_survey 300.000 1 0 0 0 0
07.005 40.909 -81.146 297.872 -34.851 main_survey 300.000 1 0 0 0 0
07.006 49.091 -81.146 296.622 -34.128 main_survey 300.000 1 0 0 0 0
07.007 57.273 -81.146 295.531 -33.257 main_survey 300.000 1 0 0 0 0
07.008 65.455 -81.146 294.619 -32.260 main_survey 300.000 1 0 0 0 0
07.009 73.636 -81.146 293.901 -31.160 main_survey 300.000 1 0 0 0 0
07.00a 81.818 -81.146 293.385 -29.982 main_survey 300.000 1 0 0 0 0
07.00b 90.000 -81.146 293.077 -28.753 main_survey 300.000 1 0 0 0 0
07.00c 98.182 -81.146 292.973 -27.498 main_survey 300.000 1 0 0 0 0
07.00d 106.364 -81.146 293.069 -26.243 main_survey 300.000 1 0 0 0 0
07.00e 114.545 -81.146 293.358 -25.012 main_survey 300.000 1 0 0 0 0
07.00f 122.727 -81.146 293.827 -23.828 main_survey 300.000 1 0 0 0 0
07.010 130.909 -81.146 294.464 -22.714 main_survey 300.000 1 0 0 0 0
07.011 139.091 -81.146 295.253 -21.690 main_survey 300.000 1 0 0 0 0
07.012 147.273 -81.146 296.179 -20.774 main_survey 300.000 1 0 0 0 0
07.013 155.455 -81.146 297.222 -19.983 main_survey 300.000 1 0 0 0 0
07.014 163.636 -81.146 298.364 -19.329 main_survey 300.000 1 0 0 0 0
07.015 171.818 -81.146 299.585 -18.826 main_survey 300.000 1 0 0 0 0
07.016 180.000 -81.146 300.862 -18.482 main_survey 300.000 1 0 0 0 0
07.017 188.182 -81.146 302.174 -18.302 main_survey 300.000 1 0 0 0 0
07.018 196.364 -81.146 303.500 -18.290 main_survey 300.000 1 0 0 0 0
07.019 204.545 -81.146 304.815 -18.446 main_survey 300.000 1 0 0 0 0
07.01a 212.727 -81.146 306.099 -18.767 main_survey 300.000 1 0 0 0 0
07.01b 220.909 -81.146 307.329 -19.248 main_survey 300.000 1 0 0 0 0
07.01c 229.091 -81.146 308.483 -19.880 main_survey 300.000 1 0 0 0 0
07.01d 237.273 -81.146 309.542 -20.653 main_survey 300.000 1 0 0 0 0
07.01e 245.455 -81.146 310.486 -21.552 main_survey 300.000 1 0 0 0 0
07.01f 253.636 -81.146 311.296 -22.561 main_survey 300.000 1 0 0 0 0
07.020 261.818 -81.146 311.956 -23.664 main_survey 300.000 1 0 0 0 0
07.021 270.000 -81.146 312.450 -24.839 main_survey 300.000 1 0 0 0 0
07.022 278.182 -81.146 312.765 -26.064 main_survey 300.000 1 0 0 0 0
07.023 286.364 -81.146 312.889 -27.318 main_survey 300.000 1 0 0 0 0
07.024 294.545 -81.146 312.815 -28.574 main_survey 300.000 1 0 0 0 0
